,CASE_NUMBER,HREF,YEAR,DATE,TIME,COUNTRY,AREA,LOCATION,SPECIES,PROVOCATION,ACTIVITY,SEX,AGE,FATAL_YN,BODY_AREA_ATTACKED,TYPE_OF_INJURY
5433,1892.12.15,http://sharkattackfile.net/spreadsheets/pdf_directory/1892.12.15-SamuelCoolidge.pdf,1892,15-Dec-1892,NOT AVAILABLE,ATLANTIC OCEAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Unprovoked,sea disaster,M,12-17,Y,NOT AVAILABLE,NOT AVAILABLE
5434,1892.11.09.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1892.11.09.R-NorfolkIsland.pdf,1892,Reported 09-Nov-1892,NOT AVAILABLE,AUSTRALIA,Norfolk Island,NOT AVAILABLE,NOT AVAILABLE,Unprovoked,fishing,M,NOT AVAILABLE,N,upper limbs,lacerations
5435,1892.11.06,http://sharkattackfile.net/spreadsheets/pdf_directory/1892.11.06-Coe.pdf,1892,06-Nov-1892,NOT AVAILABLE,AUSTRALIA,Queensland,"Wellington Point, Brisbane",NOT AVAILABLE,Unprovoked,swimming,F,NOT AVAILABLE,N,lower limbs,NOT AVAILABLE
5436,1892.09.16.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1892.09.16.R-Baker.pdf,1892,Reported 16-Sep-1892,NOT AVAILABLE,USA,Texas,Velasco,NOT AVAILABLE,Unprovoked,not available,M,NOT AVAILABLE,N,upper limbs,bite
5438,1892.06.20.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1892.06.20.R-Rider.pdf,1892,Reported 20-Jun-1892,NOT AVAILABLE,CUBA,Havana Province,Havana Harbor,NOT AVAILABLE,Unprovoked,riding a horse,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5439,1892.05.19.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1892.05.19.R-Yates.pdf,1892,Reported 19-May-1892,NOT AVAILABLE,NEW ZEALAND,North Island,Rockhampton,NOT AVAILABLE,Unprovoked,bathing,M,NOT AVAILABLE,N,lower limbs,NOT AVAILABLE
5440,1892.04.21.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1892.04.21.R-Bahamas.pdf,1892,Reported 21-Apr-1892,NOT AVAILABLE,BAHAMAS,Out Islands,NOT AVAILABLE,16' shark,Unprovoked,sea disaster,M,NOT AVAILABLE,Y,lower limbs,severed body part
5441,1892.03.25.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1892.03.25.R-Canoe.pdf,1892,Reported 25-Mar-1893,NOT AVAILABLE,PACIFIC OCEAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Unprovoked,in row boat,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5442,1892.03.02,http://sharkattackfile.net/spreadsheets/pdf_directory/1892.03.02-Wang.pdf,1892,02-Mar-1892,night,AUSTRALIA,New South Wales,Lake Macquarie,12' shark,Provoked,fishing,M,18-24,N,lower limbs,lacerations
5443,1892.00.00,http://sharkattackfile.net/spreadsheets/pdf_directory/1892.00.00-Rotaman.pdf,1892,1892,NOT AVAILABLE,AUSTRALIA,Torres Strait,Badu Island,NOT AVAILABLE,Provoked,dress diving,M,NOT AVAILABLE,Y,NOT AVAILABLE,bite
5444,1891.12.31.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1891.12.31.R-Christesen.pdf,1891,Reported 31-Dec-1891,NOT AVAILABLE,AUSTRALIA,New South Wales,NOT AVAILABLE,NOT AVAILABLE,Unprovoked,swimming,M,NOT AVAILABLE,N,lower limbs,severed body part
5445,1891.12.22.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1891.12.22.R-Jacobson.pdf,1891,Reported 22-Dec-1891,NOT AVAILABLE,NEW ZEALAND,North Island,"Manukau Harbor, 6 miles south of Auckland",NOT AVAILABLE,Unprovoked,"swimming, after boat swamped",M,NOT AVAILABLE,N,upper limbs,bite
5446,1891.09.14.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1891.09.14.R-Kiribati.pdf,1891,Reported 14-Sep-1891,NOT AVAILABLE,KIRIBATI,Line Islands,Flint Island,NOT AVAILABLE,Sea Disaster,sea disaster,NOT AVAILABLE,NOT AVAILABLE,Y,lower limbs,severed body part
5447,1891.08.30.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1891.08.30.R-Roult.pdf,1891,Reported 30-Aug-1891,NOT AVAILABLE,CANADA,Nova Scotia,Halifax,NOT AVAILABLE,Unprovoked,knocked overboard,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5448,1891.08.29,http://sharkattackfile.net/spreadsheets/pdf_directory/1891.08.29-Mary-Brown-crew.pdf,1891,29-Aug-1891,NOT AVAILABLE,USA,New Jersey,"Off Longport, Atlantic County",NOT AVAILABLE,Provoked,shooting sharks,M,NOT AVAILABLE,N,NOT AVAILABLE,NOT AVAILABLE
5450,1891.03.10,http://sharkattackfile.net/spreadsheets/pdf_directory/1891.03.10-Paraguay.pdf,1891,10-Mar-1891,night,PARAGUAY,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Unprovoked,fleeing across a river,NOT AVAILABLE,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5451,1891.01.08.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1891.01.08.R-Jamaica.pdf,1891,Reported 08-Jan-1891,night,JAMAICA,Kingston Parish,Port Royal Harbour,NOT AVAILABLE,Unprovoked,sea disaster,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5452,1890.12.30,http://sharkattackfile.net/spreadsheets/pdf_directory/1890.12.30-Gregory.pdf,1890,30-Dec-1890,NOT AVAILABLE,AUSTRALIA,Queensland,Moreton Bay,NOT AVAILABLE,Invalid,sea disaster,NOT AVAILABLE,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5453,1890.12.27.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1890.12.27.R-Tetebara.pdf,1890,Reported 27-Dec-1890,NOT AVAILABLE,BRITISH NEW GUINEA,Woodlark Islands,Off Panamota,NOT AVAILABLE,Unprovoked,thrown overboard,M,18-24,N,upper limbs,bite
5454,1890.10.25.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1890.10.25.R-Lavarello.pdf,1890,Reported 25-Oct-1890,NOT AVAILABLE,ATLANTIC OCEAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Unprovoked,thrown overboard,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5455,1890.08.17.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1890.08.17.R-NJ-PartyBoat.pdf,1890,Reported 17-Aug-1890,NOT AVAILABLE,USA,New Jersey,"Off Normandie-by-the-Sea, Monmouth County","5'7"" shark",Provoked,fishing,NOT AVAILABLE,NOT AVAILABLE,N,no injury,no injury
5456,1890.08.09,http://sharkattackfile.net/spreadsheets/pdf_directory/1890.08.09-Odell.pdf,1890,9-Aug-1890,NOT AVAILABLE,USA,Connecticut,"Bridgeport, Fairfield County",NOT AVAILABLE,Unprovoked,treading for clams,M,NOT AVAILABLE,N,upper limbs,lacerations
5457,1890.08.08,http://sharkattackfile.net/spreadsheets/pdf_directory/1890.08.08-Schwebke.pdf,1890,08-Aug-1890,NOT AVAILABLE,SAMOA,Upolu Island,Apia Harbour,NOT AVAILABLE,Unprovoked,bathing,M,NOT AVAILABLE,N,lower limbs,severed body part
5458,1890.06.26,http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/1890.06.26-Mayonni.pdf,1890,06-26-1890,NOT AVAILABLE,CROATIA,NOT AVAILABLE,Fiume,NOT AVAILABLE,Unprovoked,swimming,M,NOT AVAILABLE,N,lower limbs,severed body part
5459,1890.06.14.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1890.06.14.R-Frenchman.pdf,1890,Reported 14-Jun-1890,NOT AVAILABLE,PERSIAN GULF,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Unprovoked,sea disaster,M,NOT AVAILABLE,N,lower limbs,lacerations
5460,1890.06.02.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1890.06.02.R-PortSaid.pdf,1890,Reported 02-Jun-1890,NOT AVAILABLE,EGYPT,NOT AVAILABLE,Port Said,NOT AVAILABLE,Unprovoked,swimming,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5462,1890.02.25,http://sharkattackfile.net/spreadsheets/pdf_directory/1890.02.25-Malta.pdf,1890,25-Feb-1890,NOT AVAILABLE,MALTA,Munxar Reef,Marsascala,NOT AVAILABLE,Boating,sea disaster,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5463,1890.00.00.e,http://sharkattackfile.net/spreadsheets/pdf_directory/1890.00.00.e-FrederickSampsonJohnson.pdf,1890,1890,NOT AVAILABLE,AUSTRALIA,Tasmania,Derwent River (empties into the sea at Hobart),"Sevengill shark, 14', was caught in the vicinity",Unprovoked,wading,M,NOT AVAILABLE,N,lower limbs,bite
5466,1890.00.00.b,http://sharkattackfile.net/spreadsheets/pdf_directory/1890.00.00.b-soldier.pdf,1890,1890,NOT AVAILABLE,NEW ZEALAND,North Island,"Lampton Harbour, Wellington",NOT AVAILABLE,Unprovoked,swimming,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5467,1890.00.00.a,http://sharkattackfile.net/spreadsheets/pdf_directory/1890.00.00.a-ZuluMale.pdf,1890,Ca. 1890,afternoon,SOUTH AFRICA,KwaZulu-Natal,Cape Vidal,NOT AVAILABLE,Unprovoked,bathing,M,NOT AVAILABLE,Y,lower limbs,bite
5469,1889.11.22,http://sharkattackfile.net/spreadsheets/pdf_directory/1889.11.22-Sharpe.pdf,1889,22-Nov-1889,NOT AVAILABLE,AUSTRALIA,Queensland,Bowen,NOT AVAILABLE,Unprovoked,sea disaster,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5470,1889.11.16,http://sharkattackfile.net/spreadsheets/pdf_directory/1889.11.16-Honolulu.pdf,1889,16-Nov-1889,NOT AVAILABLE,USA,Hawaii,Honolulu,NOT AVAILABLE,Invalid,parachuted from balloon,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5471,1889.10.03.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1889.10.03.R-Madras.pdf,1889,Reported 03-Oct-1889,NOT AVAILABLE,INDIA,Tamil Nadu,Madras,NOT AVAILABLE,Unprovoked,swimming,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5472,1889.07.21,http://sharkattackfile.net/spreadsheets/pdf_directory/1889.07.21-Roe.pdf,1889,21-Jul-1889,NOT AVAILABLE,USA,Florida,"Fernandina, Nassau County",NOT AVAILABLE,Unprovoked,swimming,M,NOT AVAILABLE,Y,lower limbs,bite
5473,1889.07.19,http://sharkattackfile.net/spreadsheets/pdf_directory/1889.07.19-Bolling.pdf,1889,19-Jul-1889,early morning,USA,Texas,West Bay near Galveston,18' shark,Unprovoked,fishing,M,NOT AVAILABLE,N,lower limbs,bite
5474,1889.07.08,http://sharkattackfile.net/spreadsheets/pdf_directory/1889.07.08-PortPhillip.pdf,1889,08-Jul-1889,NOT AVAILABLE,AUSTRALIA,Victoria,Port Phillip,NOT AVAILABLE,Unprovoked,sea disaster,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5475,1889.01.31.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1889.01.31.R-Florida.pdf,1889,Reported 31-Jan-1889,NOT AVAILABLE,USA,Florida,Hillsborough Bay,NOT AVAILABLE,Provoked,fishing,NOT AVAILABLE,NOT AVAILABLE,N,no injury,no injury
5476,1889.01.00,http://sharkattackfile.net/spreadsheets/pdf_directory/1889.01.00-EnglishSailor.pdf,1889,Jan-1889,NOT AVAILABLE,SIERRA LEONE,Western Area,Freetown,NOT AVAILABLE,Unprovoked,cleaning the side of a ship,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5477,1888.12.25.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1888.12.25.R-Burnside.pdf,1888,Reported 25-Dec-1888,NOT AVAILABLE,INDIAN OCEAN,Between Perth & Colombo,NOT AVAILABLE,NOT AVAILABLE,Unprovoked,swimming,M,NOT AVAILABLE,N,lower limbs,severed body part
5478,1888.12.09,http://sharkattackfile.net/spreadsheets/pdf_directory/1888.12.09-Carter.pdf,1888,09-Dec-1888,afternoon,AUSTRALIA,New South Wales,"Iron Cove Bridge, Sydney (Estuary)",NOT AVAILABLE,Unprovoked,swimming,M,under 12,Y,NOT AVAILABLE,NOT AVAILABLE
5479,1888.12.00,http://sharkattackfile.net/spreadsheets/pdf_directory/1888.12.00-Ryland.pdf,1888,Dec-1888,NOT AVAILABLE,AUSTRALIA,New South Wales,"Hawkesbury Bridge, Sydney",NOT AVAILABLE,Unprovoked,sea disaster,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5480,1888.10.23.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1888.10.23.R-Croatia. Pdf,1888,Reported 23-Oct-1888,NOT AVAILABLE,CROATIA,Primorje-Gorski Kotar County,Rijeka,5 mm 3500 kg female shark,Unprovoked,not available,NOT AVAILABLE,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5482,1888.08.01.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1888.08.01-catboat.pdf,1888,Reported 01-Aug-1888,NOT AVAILABLE,USA,New York,NOT AVAILABLE,NOT AVAILABLE,Boating,sailing,NOT AVAILABLE,NOT AVAILABLE,N,no injury,no injury
5483,1888.07.20.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1888.07.20.R-Jamaica-scavenging.pdf,1888,Reported 20-Jul-1888,NOT AVAILABLE,JAMAICA,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Invalid,probabable drowning,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5484,1888.07.13.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1888.07.13.R-Dwarka.pdf,1888,Reported 13-Jul-1888,NOT AVAILABLE,INDIA,Gujarat,Cutch Coast,NOT AVAILABLE,Sea Disaster,the dwarka foundered,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5485,1888.07.04,http://sharkattackfile.net/spreadsheets/pdf_directory/1888.07.04-Croatia.pdf,1888,04-Jul-1888,NOT AVAILABLE,CROATIA,Lukovo,NOT AVAILABLE,NOT AVAILABLE,Invalid,not available,NOT AVAILABLE,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5487,1888.06.18.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1888.06.18-PortPhillip.pdf,1888,Reported 18-Jun-1888,NOT AVAILABLE,AUSTRALIA,Victoria,"Point Cook, Port Phillip Bay",NOT AVAILABLE,Invalid,the cutter yacht cutty sark sank,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5488,1888.02.17,http://sharkattackfile.net/spreadsheets/pdf_directory/1888.02.17-DavidGrant.pdf,1888,17-Feb-1888,early morning,NEW ZEALAND,South Island,Oamaru,"Unknown, but the shark was caught and put on exhibition",Unprovoked,floating,M,NOT AVAILABLE,N,upper limbs,lacerations
5489,1888.02.00,http://sharkattackfile.net/spreadsheets/pdf_directory/1888.02.00-Mzimvubu.pdf,1888,Feb-1888,NOT AVAILABLE,SOUTH AFRICA,Eastern Cape Province,Mzimvubu River mouth,NOT AVAILABLE,Unprovoked,crossing the river mouth,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5490,1888.01.22,http://sharkattackfile.net/spreadsheets/pdf_directory/1888.01.22-Burke.pdf,1888,22-Jan-1888,NOT AVAILABLE,AUSTRALIA,New South Wales,Sydney Harbor,NOT AVAILABLE,Boating,in row boat,M,NOT AVAILABLE,N,no injury,bite
5491,1888.00.00,http://sharkattackfile.net/spreadsheets/pdf_directory/1888.00.00-Triantafyllos.pdf,1888,1888,NOT AVAILABLE,LIBYA,Mediterranean Sea,Off Tripoli,NOT AVAILABLE,Unprovoked,sponge diving,M,NOT AVAILABLE,N,upper limbs,lacerations
5492,1887.12.22.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1887.12.22.R-Luhudahl.pdf,1887,Reported 22-Dec-1887,NOT AVAILABLE,HONDURAS,Cortés,Off Puerto Cortez (Caribbean coast),NOT AVAILABLE,Unprovoked,sea disaster,M,25-34,Y,NOT AVAILABLE,NOT AVAILABLE
5493,1887.12.04,http://sharkattackfile.net/spreadsheets/pdf_directory/1887.12.04-Cochrane.pdf,1887,04-Dec-1887,late morning,AUSTRALIA,New South Wales,"Ryde, Sydney (Estuary)",12' to 14' shark,Unprovoked,not available,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5494,1887.10.18,http://sharkattackfile.net/spreadsheets/pdf_directory/1887.10.18-Hamilton.pdf,1887,18-Oct-1887,NOT AVAILABLE,USA,Florida,"Between Lake Worth & Biscayne Bay, near Hillsboro",NOT AVAILABLE,Unprovoked,"crossing inlet in a boat, seen fighting sharks with his oar, sharks smashed boat",M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5495,1887.10.00,http://sharkattackfile.net/spreadsheets/pdf_directory/1887.10.00-Shipwreck-Alfred-Watts.pdf,1887,October 1887,NOT AVAILABLE,BAHAMAS,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Sea Disaster,"sea disaster, wreck of the alfred watts",M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5496,1887.09.22,http://sharkattackfile.net/spreadsheets/pdf_directory/1887.09.22-Weissmantel.pdf,1887,22-Sep-1887,NOT AVAILABLE,ITALY,NOT AVAILABLE,Trieste,NOT AVAILABLE,Unprovoked,swimming,M,NOT AVAILABLE,N,lower limbs,NOT AVAILABLE
5497,1887.09.06,http://sharkattackfile.net/spreadsheets/pdf_directory/1887.09.06-Croatia.pdf,1887,11-Sep-1887,NOT AVAILABLE,CROATIA,Primorje-Gorski Kotar County,Kraljevica,NOT AVAILABLE,Invalid,not available,NOT AVAILABLE,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5498,1887.03.12,http://sharkattackfile.net/spreadsheets/pdf_directory/1887.03.12-dinghy-Black-Point.pdf,1887,12-Mar-1887,NOT AVAILABLE,AUSTRALIA,South Australia,Black Point,13' shark,Boating,in row boat,NOT AVAILABLE,NOT AVAILABLE,N,no injury,no injury
5499,1887.02.08.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1887.02.08-Kaipara.pdf,1887,Reported 08-Feb-1887,NOT AVAILABLE,NEW ZEALAND,North Island,Kaipara,NOT AVAILABLE,Unprovoked,swimming,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5500,1887.02.08,http://sharkattackfile.net/spreadsheets/pdf_directory/1887.02.08-boat.pdf,1887,08-Feb-1887,NOT AVAILABLE,SOUTH AFRICA,Western Cape Province,Blaauwberg,4.7 m [15.5'] shark,Provoked,not available,NOT AVAILABLE,NOT AVAILABLE,N,abdomen,bite
5501,1887.01.20,http://sharkattackfile.net/spreadsheets/pdf_directory/1887.01.20-Whittle.pdf,1887,20-Jan-1887,night,BRAZIL,Alagoas,Maceió,NOT AVAILABLE,Sea Disaster,the passenger ship kapuna was run down the ore carrier ada melmore,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5502,1887.01.12,http://sharkattackfile.net/spreadsheets/pdf_directory/1887.01.12-Zangile.pdf,1887,12-Jan-1887,late morning,SOUTH AFRICA,Eastern Cape Province,"Mzimvubu River, 9.6 km from the sea",NOT AVAILABLE,Unprovoked,swimming,M,12-17,Y,lower limbs,bite
5503,1887.00.00,http://sharkattackfile.net/spreadsheets/pdf_directory/1887.00.00-Macedom.pdf,1887,1887,NOT AVAILABLE,OCEAN,"Somewhere between Philadelphia and Hiogo, Japan",NOT AVAILABLE,NOT AVAILABLE,Sea Disaster,british ship macedon was thrown on her beam ends by a sudden squall,M,NOT AVAILABLE,N,lower limbs,severed body part
5504,1886.08.00.c,http://sharkattackfile.net/spreadsheets/pdf_directory/1886.08.00.c-boat.pdf,1886,Mid-Aug-1886,NOT AVAILABLE,USA,New Jersey,"Shrewsbury River, Highlands, Monmouth County",Shark was said to “have a very rough ½”-thick skin”,Boating,not available,M,NOT AVAILABLE,N,NOT AVAILABLE,NOT AVAILABLE
5505,1886.08.00.b,http://sharkattackfile.net/spreadsheets/pdf_directory/1886.08.00.b-FormanWhite-boat.pdf,1886,Mid-Aug-1886,NOT AVAILABLE,USA,New Jersey,"Sandy Hook Bay, Highlands, Monmouth County",NOT AVAILABLE,Provoked,"netting menhaden, sharks caught in net",NOT AVAILABLE,NOT AVAILABLE,N,no injury,bite
5506,1886.08.00.a,http://sharkattackfile.net/spreadsheets/pdf_directory/1886.08.00.a-Parker-Matthews.pdf,1886,Aug-1886,NOT AVAILABLE,USA,New Jersey,"Shrewsbury River, Highlands, Monmouth County",3 m [10'] sharks,Boating,clamming,M,NOT AVAILABLE,N,no injury,no injury
5507,1886.06.17,http://sharkattackfile.net/spreadsheets/pdf_directory/1886.06.17-Lacoon.pdf,1886,17-Jun-1886,NOT AVAILABLE,AUSTRALIA,Queensland,Off Bribie Heads,NOT AVAILABLE,Unprovoked,swimming after being washed overboard,M,18-24,Y,NOT AVAILABLE,NOT AVAILABLE
5508,1886.06.02,http://sharkattackfile.net/spreadsheets/pdf_directory/1886.06.02-Hamakua.pdf,1886,02-Jun-1886,NOT AVAILABLE,USA,Hawaii,"Hamakua Homakua, Hawai'i",NOT AVAILABLE,Invalid,"fishing from shore, washed into the sea",F,NOT AVAILABLE,Y,NOT AVAILABLE,bite
5509,1886.05.06,http://sharkattackfile.net/spreadsheets/pdf_directory/1886.05.06-Noumea.pdf,1886,06-May-1886,late morning,NEW CALEDONIA,South Province,Noumea,NOT AVAILABLE,Unprovoked,bathing,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5510,1886.04.26,http://sharkattackfile.net/spreadsheets/pdf_directory/1886.04.26-RothesayBay.pdf,1886,26-Apr-1886,NOT AVAILABLE,AUSTRALIA,Queensland,Rothesay Bay,NOT AVAILABLE,Unprovoked,oystering,M,NOT AVAILABLE,N,upper limbs,bite
5511,1886.04.11,http://sharkattackfile.net/spreadsheets/pdf_directory/1886.04.11-TaiaroaShipwreck.pdf,1886,11-Apr-1886,NOT AVAILABLE,NEW ZEALAND,South Island,Near the mouth of the Clarence River,NOT AVAILABLE,Invalid,sea disaster : wreck of the taiaroa,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5512,1886.03.06.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1886.03.06-Rodwell-NZ.pdf,1886,Reported 06-Mar-1886,NOT AVAILABLE,NEW ZEALAND,South Island,Dunedin,NOT AVAILABLE,Invalid,bathing,M,NOT AVAILABLE,N,lower limbs,severed body part
5513,1886.03.00,http://sharkattackfile.net/spreadsheets/pdf_directory/1886.03.00-Barefoot.pdf,1886,Mar-1886,NOT AVAILABLE,AUSTRALIA,New South Wales,"Dobroyd Head, Watson Bay, Sydney",NOT AVAILABLE,Invalid,sea disaster,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5514,1886.02.13.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1886.02.13.R-Wright.pdf,1886,13-Feb-1886,NOT AVAILABLE,AUSTRALIA,Victoria,Mordialloc,NOT AVAILABLE,Boating,fishing,M,NOT AVAILABLE,N,no injury,no injury
5515,1886.01.28,http://sharkattackfile.net/spreadsheets/pdf_directory/1886.01.28-Rodwell.pdf,1886,28-Jan-1886,early morning,SOUTH AFRICA,Eastern Cape Province,"South Jetty, Port Elizabeth",NOT AVAILABLE,Unprovoked,diving off jetty,M,NOT AVAILABLE,N,lower limbs,bite
5516,1886.01.26,http://sharkattackfile.net/spreadsheets/pdf_directory/1886.01.26-Byrne.pdf,1886,26-Jan-1886,NOT AVAILABLE,AUSTRALIA,Queensland,NOT AVAILABLE,NOT AVAILABLE,Unprovoked,diving alongsidethe steamship ranelagh,M,NOT AVAILABLE,N,lower limbs,bite
5517,1886.01.01,http://sharkattackfile.net/spreadsheets/pdf_directory/1886.01.01-Woolby.pdf,1886,01-Jan-1886,NOT AVAILABLE,SOUTH AFRICA,Western Cape Province,Groot River,NOT AVAILABLE,Unprovoked,swimming,M,NOT AVAILABLE,Y,upper limbs,NOT AVAILABLE
5518,1886.00.00,http://sharkattackfile.net/spreadsheets/pdf_directory/1886.00.00-Sydney.pdf,1886,1886,afternoon,AUSTRALIA,New South Wales,Sydney Harbor,NOT AVAILABLE,Unprovoked,sailing,M,NOT AVAILABLE,N,lower limbs,severed body part
5519,1885.11.26.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1885.11.26.R-Bishop.pdf,1885,Reported 26-Nov-1885,NOT AVAILABLE,AUSTRALIA,Queensland,Brisbane,15' shark,Boating,not available,NOT AVAILABLE,NOT AVAILABLE,N,no injury,bite
5521,1885.08.17,http://sharkattackfile.net/spreadsheets/pdf_directory/1885.08.17-Loesch.pdf,1885,17-Aug-1885,NOT AVAILABLE,ATLANTIC OCEAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Unprovoked,sea disaster,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5522,1885.07.26.c,http://sharkattackfile.net/spreadsheets/pdf_directory/1885.07.26-b-Schooner-crew-1.pdf,1885,26-Jul-1885,NOT AVAILABLE,USA,Hawaii,Kau District,NOT AVAILABLE,Sea Disaster,wreck of the schooner pohoiki,M,NOT AVAILABLE,N,upper limbs,severed body part
5523,1885.07.26.b,http://sharkattackfile.net/spreadsheets/pdf_directory/1885.07.26.c-Schooner-crew-2.pdf,1885,26-Jul-1885,NOT AVAILABLE,USA,Hawaii,Kau District,NOT AVAILABLE,Sea Disaster,wreck of the schooner pohoiki,M,NOT AVAILABLE,N,abdomen,lacerations
5524,1885.07.26.a,http://sharkattackfile.net/spreadsheets/pdf_directory/1885.07.26.a-CaptainRobinson.pdf,1885,26-Jul-1885,NOT AVAILABLE,USA,Hawaii,Kau District,NOT AVAILABLE,Sea Disaster,wreck of the schooner pohoiki,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5525,1885.04.16.R,http://sharkattackfile.net/spreadsheets/pdf_directory/1885.04.16.R-GermanShip.pdf,1885,Reported 16-Apr-1885,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Unprovoked,swimming,M,NOT AVAILABLE,Y,NOT AVAILABLE,NOT AVAILABLE
5526,1885.04.09,http://sharkattackfile.net/spreadsheets/pdf_directory/1885.04.09-Pahi.pdf,1885,09-Apr-1885,NOT AVAILABLE,NEW ZEALAND,North Island,Auckland,NOT AVAILABLE,Unprovoked,bathing,M,NOT AVAILABLE,N,lower limbs,lacerations
5527,1885.03.28,http://sharkattackfile.net/spreadsheets/pdf_directory/1885.03.28-oar.pdf,1885,28-Mar-1885,NOT AVAILABLE,SOUTH AFRICA,KwaZulu-Natal,Kokstad District,3 m [10'] shark,Unprovoked,fishing,M,NOT AVAILABLE,N,no injury,bite
